,TIMESTAMP,joke ID,joke tags
0,2020-03-12 08:56:24.532284,PL82498982722067383070421ON,puns
1,2020-03-12 08:56:30.489901,PL82498982722067383070421ON,time puns
2,2020-03-12 08:57:48.940555,VD25880689079115464484599TK,puns
3,2020-03-12 10:39:11.973290,VD25880689079115464484599TK,millennial puns
4,2020-03-12 11:04:11.269387,VW97176050334174606236849LI,pun
5,2020-03-12 11:04:24.194991,VW97176050334174606236849LI,insect puns
6,2020-03-12 23:13:31.981379,BF93352413367185826123787EF,pun
7,2020-03-12 23:13:40.839496,BF93352413367185826123787EF,dumb puns
8,2020-07-31 12:49:50.245997,AG8551426360081886979791VV,blank
9,2021-06-23 16:35:39.270571,OZ39090217197686400385295TO,yuvraj
