,TIMESTAMP,reaction ID,reaction username,joke tags,like,dislike,comment,rate (0 to 10)
0,2020-03-12 11:16:37.747890,JY57584181282143991083684AO,y_khanna,"puns, time puns",1,0,wtf,6.0
1,2020-03-12 11:16:50.479401,SL70012226038290177516822UJ,y_khanna,"puns, millennial puns",1,0,,7.0
2,2020-03-12 11:17:12.359326,YF95422008401074942635078UZ,y_khanna,"pun, insect puns",0,1,not funny,0.0
3,2020-07-26 21:49:23.765499,LS21869505764154309091890HS,y_khanna,"puns, time puns",1,0,,
4,2020-07-31 12:43:53.751220,EZ31459624462793283538874RB,y_khanna,"puns, time puns",0,1,,
5,2020-07-31 12:44:09.545179,ZK93890617419400854644249FE,y_khanna,"puns, millennial puns",0,1,,
6,2020-07-31 12:44:16.048267,XL55290179785510118603082PQ,y_khanna,"pun, insect puns",0,1,,
7,2020-07-31 12:44:25.371522,MK60535181420627038485312HR,y_khanna,"pun, dumb puns",1,0,lol,
8,2021-06-23 16:36:30.700151,KP69471998632979388696190JK,sseth,"puns, time puns",0,1,,
9,2021-06-23 16:37:18.714594,BP53333812053570506277054PR,sseth,"puns, millennial puns",0,1,,
10,2021-06-23 16:37:30.263874,II30600539804001142373529EV,sseth,"pun, insect puns",1,0,,
11,2021-06-23 16:37:34.944709,WR77688549391929550283563CE,sseth,"pun, dumb puns",0,1,,
12,2021-06-23 16:37:38.842585,XP50837883440564645975597OF,sseth,blank,0,1,,
13,2021-06-23 16:37:45.379670,FP7682079284277370706003SH,sseth,yuvraj,1,0,,
14,2021-09-01 18:04:18.873516,ZU34707834809720045942735NW,gm,"puns, time puns",1,0,,
15,2021-09-01 18:04:36.454176,AD62319520326965923780507EM,gm,"puns, millennial puns",0,1,,
16,2021-09-01 18:05:01.033083,GG78334408331935155668189FJ,gm,"pun, insect puns",1,0,,
17,2021-09-01 18:05:16.792726,JO98529509644948611182824LW,gm,"pun, dumb puns",1,0,,
18,2021-09-01 18:05:37.428231,WG77872729317848738690500NJ,gm,blank,0,1,,
19,2021-09-01 18:05:49.629979,PN10790783355621814768862UK,gm,yuvraj,1,0,,
20,2021-11-24 03:17:41.062464,VM60508399583918299942181AQ,y_khanna,"puns, time puns",1,0,,
21,2022-12-08 02:42:04.208529,ZI38949277362724697697909BJ,y_khanna,"puns, time puns",1,0,,
22,2022-12-08 02:42:13.581318,DY79746841348480981618136SF,y_khanna,"puns, millennial puns",0,1,,
23,2022-12-08 02:42:35.059070,IC52586936858971235288525LO,y_khanna,"pun, insect puns",1,0,this is funny,
24,2022-12-08 02:52:02.961433,TE37788046112853228413019SU,y_khanna,"puns, time puns",1,0,this is funny,6
25,2022-12-08 02:52:42.412229,ND52393244705020722263415GK,y_khanna,"puns, millennial puns",0,1,N/A,N/A
26,2022-12-08 02:52:48.599443,FS41890458533118858815715JF,y_khanna,"pun, insect puns",1,0,N/A,N/A
27,2022-12-08 02:52:54.113125,FN43707394799786014141452EG,y_khanna,"pun, dumb puns",1,0,N/A,N/A
28,2022-12-08 02:53:02.332498,YS43677030315820022364149RD,y_khanna,yuvraj,0,1,N/A,N/A
29,2022-12-08 02:54:50.155144,SH15365105936108882545263II,y_khanna,"puns, time puns",1,0,N/A,N/A
30,2022-12-08 02:54:57.605625,AF2231025701928573946257NA,y_khanna,"puns, millennial puns",0,1,N/A,N/A
31,2022-12-08 02:55:01.660411,XZ75670906843048146603484QS,y_khanna,"pun, insect puns",1,0,N/A,N/A
32,2022-12-08 02:55:05.835685,YW24819330600303437412487LV,y_khanna,"pun, dumb puns",1,0,N/A,N/A
33,2022-12-08 02:55:11.799848,QQ1231838494880224204840ME,y_khanna,yuvraj,0,1,N/A,N/A
